f1,w,rf,wt,mass,m95,r95,compacity,Qt,Q
0.009,1.00838348,155,0.991288064223483,0.226611958969927,0.21526400295977,33.3399,0.00645662876304049,2.80744568050671,0.113631135774637
0.01,1.009329503,135,0.99033190546643,0.238210366728386,0.226281197581811,31.6099,0.00715853203359098,2.94643465376811,0.119483803484951
0.02,1.01895335,85,0.980904908925698,0.327182561144364,0.310783774495082,22.0899,0.0140689802849743,3.9824935750746,0.164604826872327
0.024,1.0228877,80,0.977199428622682,0.354366207253931,0.33664757563634,20.0999,0.016748635603798,4.28546958067661,0.178485555703627
0.026,1.024873407,90,0.975362104485687,0.366655965622984,0.348277398515763,19.2499,0.0180923323904292,4.41969129995206,0.184780571757635
0.028,1.026871579,95,0.973533459424339,0.378299030490547,0.35935368602635,18.5099,0.0194140294989925,4.5451723989867,0.190754880659668
0.032,1.0309057,75,0.96990347354188,0.399809989551841,0.379781134819173,17.24,0.0220290681449636,4.77220916288711,0.201822649066307
0.034,1.03294183,80,0.968101824312954,0.409815754387343,0.389306560248829,16.6999,0.0233117700747802,4.87553029698547,0.206983892447666
0.036,1.0349908,75,0.966310053962877,0.419281951881272,0.398275399491256,16.1899,0.0246000864417082,4.97170073528816,0.211877501431519
0.038,1.037052704,82,0.964528832385174,0.428215774900489,0.40675016552785,15.7099,0.0258911626688638,5.06088474737381,0.216507108543334
0.04,1.039127635,80,0.962752904179498,0.437041885139809,0.415183846419143,15.3099,0.0271184746191472,5.147971290377,0.221080165946153
0.042,1.04121569,75,0.960990925324346,0.445098376745129,0.422781157985592,14.8799,0.0284127122302145,5.22552319981778,0.225274093610153
0.044,1.043316966,70,0.95923574140467,0.452984237780238,0.430302903164624,14.5099,0.0296556101422897,5.30036928445408,0.229380820101942
0.046,1.0454315596,75,0.957489514404623,0.460549715121089,0.437474308705586,14.1599,0.0308950782984171,5.37086404752104,0.233327412526199
0.048,1.047559571,65,0.95575249728605,0.467781027309358,0.444333425021823,13.8299,0.0321282302980349,5.43690462410796,0.237107368778665
0.05,1.0497011,60,0.954023564882986,0.474776839810944,0.451013021552538,13.5299,0.0333342957540678,5.49962891357318,0.240768609409841
0.052,1.05185624,60,0.952304512009003,0.481440034963238,0.457358768581775,13.2399,0.0345437136391069,5.55800627246938,0.244264029483567
0.054,1.0540251038,80,0.950595718490867,0.487762582496355,0.46329027285046,12.9499,0.0357753106448232,5.61199929977153,0.247589853645283
0.056,1.05620778,50,0.948894194124525,0.493928534352301,0.469139792028415,12.6899,0.0369692507508601,5.66366206917266,0.250835506971508
0.058,1.05840439,55,0.947201203754048,0.499883019326001,0.474838079892405,12.4499,0.0381396048106349,5.71242020246213,0.253974170087949
0.06,1.06061503,50,0.945518505176774,0.505530778415133,0.480188907649567,12.2099,0.0393275108640104,5.75728262267887,0.256959930637577
0.062,1.0628398,50,0.943843124659836,0.511043075242848,0.485435005055993,11.9899,0.0404866559679728,5.80012965149899,0.259875725039949
0.064,1.0650788,55,0.942177851811768,0.516282703839938,0.490365400804271,11.7699,0.0416623110284003,5.83952004044723,0.262655256817691
0.075,1.077652693,55,0.933169731965506,0.542087354629397,0.514923816589158,10.7599,0.0478553732889552,0,0.276406707722912
