f1,w,rf,wt,mass,m95,r95,compacity,Q
3.52,4.225724,25,0.877559114605353,0.515653116509023,0.489751428034413,4.45999,0.109809737227447,
3.54,4.24132,22,0.877851541319947,0.515917692660261,0.489957494678891,4.49999,0.108879443261976,
3.56,4.256904,21,0.878215413633431,0.514742137125845,0.488962394462751,4.47999,0.10914339162115,
3.58,4.27248,22,0.878536521212925,0.514920122483128,0.489146411266254,4.51999,0.10821823258103,
3.6,4.28803,22,0.878883638577882,0.513692754136729,0.487991896430209,4.48999,0.108684164015637,
3.62,4.303574,23,0.879231086184046,0.512947276231877,0.487210209997432,4.47999,0.108752279017284,
3.66,4.33461,22,0.879833339797518,0.512675257591817,0.486901328465466,4.51999,0.107721532846342,
3.68,4.35011,23,0.880162080701586,0.512087290251941,0.486351669108606,4.51999,0.10759992679394,
3.7,4.3656,22,0.88048148860696,0.511825353229376,0.486187964838571,4.53999,0.107089860096602,
3.72,4.381068,32,0.880814290988594,0.510895321663153,0.485277489203407,4.51999,0.107362276372435,
3.74,4.396525,27,0.881063208806124,0.512012501274472,0.486289740797078,4.59999,0.105715161042843,
3.76,4.4119694,36,0.881441758162583,0.50968492685271,0.484041449250068,4.50999,0.107326263691811,
3.78,4.4273997,30,0.881733818472931,0.509610896779228,0.484125940662717,4.53999,0.106635669749497,
4.7,5.125,10,0.896344874855019,0.487429548001234,0.462901731018924,4.47999,0.103326279245296,
4.8,5.1981180167,56,0.893920141819066,0.497512302736197,0.472552900817382,4.84999,0.0974335877973983,
4.9,5.2721363237,50,0.894779826740837,0.498206536379548,0.473155581805086,4.93999,0.0957804821467785,
5,5.3459077,33,0.895625958717513,0.496859850574038,0.471974869586371,4.91999,0.0959298515419453,
